tstamp,cuisine,critical_flag,borough
2020-02-00,Mediterranean,Critical,Manhattan
2020-02-14,American,Not Critical,Queens
2020-02-14,Coffee/Tea,Critical,Queens
2020-02-21,Latin/Caribbean,Not Critical,Brooklyn
2020-02-27,Latin/Caribbean,Not Critical,Queens
2020-03-05,Specialty,Critical,Manhattan
2020-02-97,American,Not Critical,Brooklyn
2020-02-07,American,Not Critical,Brooklyn
2020-02-05,Specialty,Critical,Brooklyn
2020-03-03,American,Critical,Manhattan
2020-03-04,Asian,Critical,Manhattan
2020-03-02,Asian/Asian Fusion,Critical,Brooklyn
2020-03-02,Asian,Critical,Staten Island
2020-02-28,American,Not Critical,Manhattan
2020-02-07,American,Critical,Manhattan
2020-03-10,American,Critical,Manhattan
2020-02-26,Pizza,Not Critical,Staten Island
2020-02-24,American,Critical,Brooklyn
2020-03-05,American,Not Critical,Manhattan
2020-03-04,Pizza,Critical,Queens
2020-03-09,Pizza,Critical,Brooklyn
2020-02-06,Specialty,Critical,Brooklyn
2020-02-13,Asian,Critical,Queens
2020-03-10,Italian,Not Critical,Brooklyn
2020-02-26,Pizza,Critical,Manhattan
2020-03-09,Coffee/Tea,Not Critical,Manhattan
2020-02-05,Mediterranean,Not Critical,Queens
2020-03-12,Mexican,Critical,Manhattan
2020-02-27,American,Not Critical,Manhattan
2020-02-04,Latin/Caribbean,Not Critical,Queens
2020-02-21,Asian,Critical,Queens
2020-02-28,Coffee/Tea,Critical,Manhattan
2020-03-04,American,Critical,Manhattan
2020-02-13,Italian,Not Critical,Manhattan
2020-03-05,American,Not Critical,Manhattan
2020-02-24,Latin/Caribbean,Not Critical,Brooklyn
2020-02-03,American,Not Critical,Brooklyn
2020-02-22,Asian,Critical,Queens
2020-03-03,Specialty,Critical,Manhattan
2020-02-03,Southeast Asian,Critical,Manhattan
2020-02-18,Specialty,Critical,Queens
2020-02-24,Soups & Sandwiches,Not Critical,Queens
2020-03-12,Specialty,Not Critical,Manhattan
2020-03-12,Specialty,Not Critical,Manhattan
2020-03-12,Specialty,Not Critical,Manhattan
2020-02-06,American,Critical,Manhattan
2020-03-10,Asian,Critical,Queens
2020-02-18,Soups & Sandwiches,Not Critical,Brooklyn
2020-02-18,Soups & Sandwiches,Not Critical,Brooklyn
2020-03-09,Latin/Caribbean,Critical,Bronx
2020-02-20,Mediterranean,Critical,Queens
